Russian,Occidental,Extra Info
порожний,-empt,<B>R: </B>-empt<BR><B><I>*</B></I> порожний
означаят|числовые|порции|десятки|четверки|и|пр,-en,"<B>R: </B>-en<BR> означаят числовые порции - десятки, четверки и пр.<BR>(quadren, centen etc.) vid gramatica"
висеть|вешать,-herer,"<B>R: </B>-her|er<BR><I><B>s</B></I> висеть, вешать<BR>ad-; in-; -{s}ion, syn. pender"
собирать,-lect-er,"<B>R: </B>-lect-er<BR> co~ - собирать<BR>in compositiones colecter, electer, selecter."
панд,-pand,"<B>R: </B>-pand<BR>?? (vid. expander, repander)<BR>vid. <A href='bword://expander'>expander</A>, repander"
пар,-par,"<B>R: </B>-par<BR> ??<BR>finale scientific = generant, parturant, nascentant; vivi-, ovi-"
прозрачный,-par-er • -par,"<B>R: </B>-par|-er<BR>прозрачный<BR>= a(p)parer, --entie, -trans-, --ent, ---ie"
квизит,-quisit,"<B>R: </B>-quisit<BR> -квизит-<BR>-er, -ion, -or, -iv, con-er, ac-er, re-er, in-er, per-er."
скоп,-scop,"<B>R: </B>-scop<BR> -скоп<BR>Gr., micro-, tele-, peri-, etc."
сохранять,-servar • -serva • -servat,"<B>R: </B>-serv|ar<BR>-сохранять<BR>in compositiones con-, pre- ob-, re-."
систировать,-sister • -siste • -sistet,"<B>R: </B>-sist|er<BR>-систировать<BR>= star, solmen in compositiones, a-er, re-er, in-er, con-er, ex-er."
сперс,-spers,"<B>R: </B>-spers<BR> -сперс- (рассеивать)<BR>a-er, dis-er"
состоять,-stituer • -stitue • -stituet,"<B>R: </B>-stituer<BR>con~ = состоять<BR>vid. statuer, con-er, de-er, in-er, sub-er, pro-er"
Африка,Africa,Африка
Америка,America,Америка
Азия,Asia,Азия
Чили,Chili,<B>R: </B>Чили<BR>-an = land in Sud-America.
Китай,Chine,"<B>R: </B>Китай<BR>-es, --erie, -an = land in Ost-Asia"
Бог,Deo,"<B>R: </B>De|o<BR> Бог<BR>-essa, -ism, -ist"
Европа,Europa,Европа
индия,India,индия
международный|вспомогательный|язык|До|года|назывался,Interlingue • Occidental,<B>Interlingue</B> - международный вспомогательный язык До 1948 года назывался <B>Occidental<HR></B>
Иешуа,Jesu,<B>R: </B>Jesu<BR> Иешуа (Иесус)<BR>-it
еврей,Judeo,"<B>R: </B>Jude|o<BR> еврей<BR>-ic, -ism, -isar, -izar."
Кааба,Kaaba,<B>R: </B>Kaaba<BR> Кааба
окись|калия|поташ,Kali,"<B>R: </B>Kali<BR> окись калия, поташ<BR>=Alcali"
калий,Kalium,<B>R: </B>Kalium<BR> калий<BR>(K)
химия,Kemie,<B>R: </B>Kemie<BR> химия<BR>vid. chemie
кепи,Kepi,<B>R: </B>Kepi<BR> кепи
Хан,Khan,<B>R: </B>Khan<BR> Хан
хедив,Khedive,<B>R: </B>Khediv|e<BR> хедив (титул правителей Египта в 19 в.)
Марс,Mars,"<B>R: </B>Mars<BR> Марс<BR>(deo, planete)."
мессия|мошиах,Messi'a • Messia • messi'a • messia,"<B>R: </B>Messi'a<BR>мессия, мошиах<BR>-an"
Пасха,Pasca,<B>R: </B>Pasc|a<BR> Пасха<BR>-al
страсти|господни,Passione,<B>R: </B>Passione<BR> страсти господни<BR>= suffrentie de Cristo
Венера,Ve'nere • Venere • Vйnere,<B>R: </B>Ve'ner|e<BR>Венера<BR>-ic = Venus
Веста,Vesta,<B>R: </B>Vesta<BR> Веста<BR>-al
#VALUE!,X-radies,x-лучи
между|прочим|между|тем,a propo' • propo' • propo,"между прочим, между тем"
именно|то|есть,a saver • saver • save • savet,"именно, то есть"
угол,a'ngul • angul,<B>R: </B>угол
душа,a'nim • a'nime • anim,<B>R: </B>a'nim<BR>душа
задница,a'sino • asino,задница
туда,a-ta,туда
у-|от-|прочь|в|сторону|вниз,ab-,"<B>R: </B>ab-<BR> у-, от-, прочь, в сторону, вниз<BR>= move for del rect via."
покидать|оставлять|предавать,abandonar • abandona • abandonat,"<B>R: </B>abandonar<BR>покидать, оставлять, предавать"
унижать|принижать,abassar • abassa • abassat,"унижать, принижать"
аббат,abat,<B>R: </B>abat<BR> аббат
уронить|повалить,abatter • abatte • abattet,"уронить, повалить"
отрекаться|отказываться,abdicar • abdica • abdicat • abdicer • abdice • abdicet,"<B>R: </B>abdicar <B>N:</B> abdicer<BR><B><I>*</B></I> 1) отрекаться (от престола, власти); 2) отказываться (от прав и т.п.)"
живот|брюхо,abdo'mine • abdomine • abdуmine,"<B>R: </B>abdomin<BR>живот, брюхо"
украшать,abellar • abella • abellat,украшать
сосна|ель,abiet • abiete,"<B>R: </B>abiet<BR>сосна, ель"
пропасть|бездна,abisse • abiss • abyss,"<B>R: </B>abiss<BR>пропасть, бездна<BR>(abyss)"
жалкий|презренный|низкий,abject,"<B>R: </B>abject<BR><I><B>*p</B></I> жалкий, презренный; низкий"
отказываться|отступаться,abjurar • abjura • abjurat,"отказываться, отступаться"
отрицать|отвергать,abnegar • abnega • abnegat,"отрицать, отвергать"
отмена,abolie • abolir,отмена
отменять|упразднять|уничтожать,abolir • aboli • abolit,"<B>R: </B>aboli|r<BR><B><I>*</B></I> отменять, упразднять, уничтожать<BR>"
отмена|упразднение,abolition • abolir,"отмена, упразднение"
ненавидеть,abominar • abomina • abominat,<B>R: </B>abomina|r<BR>ненавидеть
абонимент,abonnament • abonnar,абонимент
подписываться,abonnar • abonna • abonnat,<B>R: </B>abonna|r<BR>подписываться (на издание)<BR>
абориген,aborigen • aborigeno • aborigene,абориген
делать|аборт,abort • aborter,"<B>R: </B>abort|(er)<BR>делать аборт<BR>-iv, -ion"
лаять,aboyar • aboya • aboyat,<B>R: </B>aboya|r<BR>лаять<BR>-ero = specie de can chassatori.
ссадина,abrasion,ссадина
сокращать|укорачивать,abreviar • abrevia • abreviat,"сокращать, укорачивать"
абрикос,abricot,<B>R: </B>abricot<BR> абрикос
отменять|аннулировать|упразднять,abrogar • abroga • abrogat,"<B>R: </B>abroga|r<BR><B><I>*</B></I> отменять, аннулировать, упразднять (закон, обычай и т.п.)"
отрывистый|рекий|внезапный,abrupt • abrupti,"отрывистый, рекий; внезапный"
абсцесс|гнойник|нарыв,abscess,"<B>R: </B>abscess<BR><I><B>*</B></I> абсцесс, гнойник, нарыв"
отсутствующий,absent,"<B>R: </B>absent<BR> отсутствующий<BR>-ar, -ie"
полынь,absinte • absinthe,полынь
помиловать|овободить|от|наказания|отпустить|грехи,absoluer • absolue • absoluet,"помиловать, овободить от наказания, <BR> отпустить грехи"
полный|совершенный|абсолютный|безусловный,absolut,"полный, совершенный; абсолютный; безусловный"
абсолютно|безусловно,absolutmen,"абсолютно, безусловно"
всасывать|впитывать,absorpter • absorpte • absorptet,"всасывать, впитывать"
абстинент,abstinent • abstiner,абстинент
воздерживаться,abstiner • abstine • abstinet • abstinent,"<B>R: </B>abstiner<BR><B><I>*</B></I> воздерживаться<BR>-nt, -ie"
воздержание,abstinie • abstiner,воздержание
отвлекать,abstraer • abstrae • abstraet,<B>R: </B>abs|tra|er<BR><B><I>*</B></I> отвлекать
абстрактный,abstrat • abstraer,абстрактный
абстракция,abstration • abstraer,аабстракцтя
абсурд,absurd,<B>R: </B>absurd<BR>абсурд
абсурдность,absurdita,абсурдность
изобилие,abundantie,изобилие
изобиловать,abundar • abunda • abundat,<B>R: </B>abunda|r<BR>изобиловать
акация,acacie,<B>R: </B>acaci|e<BR> акация
академический,academian,академический
академия,academie,<B>R: </B>academi|e<BR>академия
академик,academiс,академик
скупать|барышничать|спекулировать,acaparar • acapara • acaparat,"скупать, барышничать, спекулировать"
ускорять,accelerar • accelera • accelerat,"<B>R: </B>ac|celer|ar<BR><B><I>*</B></I> ускорять<BR>-at, --ion"
поджегать,accender • accende • accendet,поджегать
зажигалка,accendette,зажигалка
